man_nontrad_1_1,m_nt_1_scale_1,m_nt_1_scale_3,m_nt_1_scale_4,m_nt_1_scale_5,m_nt_1_scale_12,m_nt_1_scale_13,man_nontrad_2_1,m_nt_2_scale_1,m_nt_2_scale_3,m_nt_2_scale_4,m_nt_2_scale_5,m_nt_2_scale_12,m_nt_2_scale_13,man_nontrad_3_1,m_nt_3_scale_1,m_nt_3_scale_3,m_nt_3_scale_4,m_nt_3_scale_5,m_nt_3_scale_12,m_nt_3_scale_13,man_nontrad_4_1,m_nt_4_scale_1,m_nt_4_scale_3,m_nt_4_scale_4,m_nt_4_scale_5,m_nt_4_scale_12,m_nt_4_scale_13,man_nontrad_5_1,m_nt_5_scale_1,m_nt_5_scale_3,m_nt_5_scale_4,m_nt_5_scale_5,m_nt_5_scale_12,m_nt_5_scale_13,man_nontrad_6_1,m_nt_6_scale_1,m_nt_6_scale_3,m_nt_6_scale_4,m_nt_6_scale_5,m_nt_6_scale_12,m_nt_6_scale_13,man_nontrad_7_1,m_nt_7_scale_1,m_nt_7_scale_3,m_nt_7_scale_4,m_nt_7_scale_5,m_nt_7_scale_12,m_nt_7_scale_13,man_nontrad_8_1,m_nt_8_scale_1,m_nt_8_scale_3,m_nt_8_scale_4,m_nt_8_scale_5,m_nt_8_scale_12,m_nt_8_scale_13,man_nontrad_9_1,m_nt_9_scale_1,m_nt_9_scale_3,m_nt_9_scale_4,m_nt_9_scale_5,m_nt_9_scale_12,m_nt_9_scale_13,man_nontrad_10_1,m_nt_10_scale_1,m_nt_10_scale_3,m_nt_10_scale_4,m_nt_10_scale_5,m_nt_10_scale_12,m_nt_10_scale_13,man_trad_1_1,m_t_1_scale_1,m_t_1_scale_3,m_t_1_scale_4,m_t_1_scale_5,m_t_1_scale_12,m_t_1_scale_13,man_trad_2_1,m_t_2_scale_1,m_t_2_scale_3,m_t_2_scale_4,m_t_2_scale_5,m_t_2_scale_12,m_t_2_scale_13,man_trad_3_1,m_t_3_scale_1,m_t_3_scale_3,m_t_3_scale_4,m_t_3_scale_5,m_t_3_scale_12,m_t_3_scale_13,man_trad_4_1,m_t_4_scale_1,m_t_4_scale_3,m_t_4_scale_4,m_t_4_scale_5,m_t_4_scale_12,m_t_4_scale_13,man_trad_5_1,m_t_5_scale_1,m_t_5_scale_3,m_t_5_scale_4,m_t_5_scale_5,m_t_5_scale_12,m_t_5_scale_13,man_trad_6_1,m_t_6_scale_1,m_t_6_scale_3,m_t_6_scale_4,m_t_6_scale_5,m_t_6_scale_12,m_t_6_scale_13,man_trad_7_1,m_t_7_scale_1,m_t_7_scale_3,m_t_7_scale_4,m_t_7_scale_5,m_t_7_scale_12,m_t_7_scale_13,man_trad_8_1,m_t_8_scale_1,m_t_8_scale_3,m_t_8_scale_4,m_t_8_scale_5,m_t_8_scale_12,m_t_8_scale_13,man_trad_9_1,m_t_9_scale_1,m_t_9_scale_3,m_t_9_scale_4,m_t_9_scale_5,m_t_9_scale_12,m_t_9_scale_13,man_trad_10_1,m_t_10_scale_1,m_t_10_scale_3,m_t_10_scale_4,m_t_10_scale_5,m_t_10_scale_12,m_t_10_scale_13,woman_nontrad_1_1,w_nt_1_scale_1,w_nt_1_scale_3,w_nt_1_scale_4,w_nt_1_scale_5,w_nt_1_scale_12,w_nt_1_scale_13,woman_nontrad_2_1,w_nt_2_scale_1,w_nt_2_scale_3,w_nt_2_scale_4,w_nt_2_scale_5,w_nt_2_scale_12,w_nt_2_scale_13,woman_nontrad_3_1,w_nt_3_scale_1,w_nt_3_scale_3,w_nt_3_scale_4,w_nt_3_scale_5,w_nt_3_scale_12,w_nt_3_scale_13,woman_nontrad_4_1,w_nt_4_scale_1,w_nt_4_scale_3,w_nt_4_scale_4,w_nt_4_scale_5,w_nt_4_scale_12,w_nt_4_scale_13,woman_nontrad_5_1,w_nt_5_scale_1,w_nt_5_scale_3,w_nt_5_scale_4,w_nt_5_scale_5,w_nt_5_scale_12,w_nt_5_scale_13,woman_nontrad_6_1,w_nt_6_scale_1,w_nt_6_scale_3,w_nt_6_scale_4,w_nt_6_scale_5,w_nt_6_scale_12,w_nt_6_scale_13,woman_nontrad_7_1,w_nt_7_scale_1,w_nt_7_scale_3,w_nt_7_scale_4,w_nt_7_scale_5,w_nt_7_scale_12,w_nt_7_scale_13,woman_nontrad_8_1,w_nt_8_scale_1,w_nt_8_scale_3,w_nt_8_scale_4,w_nt_8_scale_5,w_nt_8_scale_12,w_nt_8_scale_13,woman_nontrad_9_1,w_nt_9_scale_1,w_nt_9_scale_3,w_nt_9_scale_4,w_nt_9_scale_5,w_nt_9_scale_12,w_nt_9_scale_13,woman_nontrad_10_1,w_nt_10_scale_1,w_nt_10_scale_3,w_nt_10_scale_4,w_nt_10_scale_5,w_nt_10_scale_12,w_nt_10_scale_13,woman_trad_1_1,w_t_1_scale_1,w_t_1_scale_3,w_t_1_scale_4,w_t_1_scale_5,w_t_1_scale_12,w_t_1_scale_13,woman_trad_2_1,w_t_2_scale_1,w_t_2_scale_3,w_t_2_scale_4,w_t_2_scale_5,w_t_2_scale_12,w_t_2_scale_13,woman_trad_3_1,w_t_3_scale_1,w_t_3_scale_3,w_t_3_scale_4,w_t_3_scale_5,w_t_3_scale_12,w_t_3_scale_13,woman_trad_4_1,w_t_4_scale_1,w_t_4_scale_3,w_t_4_scale_4,w_t_4_scale_5,w_t_4_scale_12,w_t_4_scale_13,woman_trad_5_1,w_t_5_scale_1,w_t_5_scale_3,w_t_5_scale_4,w_t_5_scale_5,w_t_5_scale_12,w_t_5_scale_13,woman_trad_6_1,w_t_6_scale_1,w_t_6_scale_3,w_t_6_scale_4,w_t_6_scale_5,w_t_6_scale_12,w_t_6_scale_13,woman_trad_7_1,w_t_7_scale_1,w_t_7_scale_3,w_t_7_scale_4,w_t_7_scale_5,w_t_7_scale_12,w_t_7_scale_13,woman_trad_8_1,w_t_8_scale_1,w_t_8_scale_3,w_t_8_scale_4,w_t_8_scale_5,w_t_8_scale_12,w_t_8_scale_13,woman_trad_9_1,w_t_9_scale_1,w_t_9_scale_3,w_t_9_scale_4,w_t_9_scale_5,w_t_9_scale_12,w_t_9_scale_13,woman_trad_10_1,w_t_10_scale_1,w_t_10_scale_3,w_t_10_scale_4,w_t_10_scale_5,w_t_10_scale_12,w_t_10_scale_13,age,gender,gender_5_TEXT,employment,role,company_size,experience,roles,industry,industry_12_TEXT,risk_aversion_1,risk_aversion_2,risk_aversion_3,risk_aversion_4,risk_aversion_5,risk_aversion_6,Condition,Iteration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,5,8,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Man,,Employed full time,Senior Network Engineer,"500-1,000 employees",3-5 years,"Junior Network Engineer
Web Developer
Full Stack Developer","Professional or business services,Technology",,3,3,3,5,5,7,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,7,5,6,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,6,5,5,10,10,45,Woman,,Employed full time,Website Manager,Less than 50 employees,3-5 years,"Content production, graphic design, social media management",Technology,,5,6,4,5,4,4,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,6,4,8,6,7,5,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Man,,Employed full time,Research Associate,"1,000+ employees",1-2 years,"Research Associate, Research Specialist",Health,,6,5,6,5,3,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,6,8,9,9,9,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Man,,Employed full time,Lead Sound Designer,Less than 50 employees,3-5 years,Assistant foley assistant,Other - not listed,media,3,4,3,2,6,2,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,27,Man,,Employed full time,Data Analyst,"500-1,000 employees",1-2 years,IT roles,Technology,,3,2,6,5,4,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,9,10,10,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Man,,Employed full time,it tech,100-500 employees,10+ years,it tech,Technology,,3,6,6,5,6,2,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,6,7,7,7,8,4,7,,,,,,,,6,7,6,7,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Man,,Employed full time,Area IT Manager,100-500 employees,1-2 years,Systems Admin,Leisure or hospitality,,5,6,6,5,5,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,5,5,9,5,10,,,,,,,,,,,,,,,8,8,5,5,8,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Man,,Employed full time,Senior Data Scientist,"1,000+ employees",Less than 1 year,I've interviewed for open spots on the teams I work on.,Technology,,5,6,6,4,3,6,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,5,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Man,,Employed full time,Coach,"1,000+ employees",1-2 years,Entry level customer service,Health,,3,4,4,3,5,3,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,,,,,,,,8,8,7,7,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Man,,Employed full time,Tech lead,"1,000+ employees",3-5 years,"Desktop engineer, sysadmin","Financial or information,Manufacturing,Professional or business services",,3,5,5,4,5,3,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Man,,Employed full time,IT Manager,50-100 employees,5-10 years,IT department jobs,Technology,,2,5,1,2,6,7,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,7,7,7,7,6,7,6,6,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Man,,Employed full time,Project manager,50-100 employees,Less than 1 year,"NA, I have not hired or recruited for any roles.","Manufacturing,Technology",,1,4,5,2,6,2,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,9,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,8,9,8,8,,,,,,,,30,Woman,,Employed full time,Supervisor,100-500 employees,3-5 years,Supervisor,Technology,,4,6,6,6,6,2,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,6,8,6,7,8,,,,,,,,9,6,5,7,6,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Man,,Employed full time,software developer,Less than 50 employees,Less than 1 year,software development tutor or instructor,Technology,,3,3,5,3,5,5,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,8,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,8,9,9,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Man,,Employed full time,Systems Architect,"1,000+ employees",10+ years,"System Engineers, NOC Engineers",Technology,,2,5,5,4,6,4,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,7,9,9,3,7,6,7,6,8,6,8,7,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Man,,Employed full time,senior chemist,"500-1,000 employees",5-10 years,lab techs and chemists,Other - not listed,pharma,2,3,5,2,6,2,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,5,5,9,8,,,,,,,,,,,,,,,8,7,5,5,5,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Man,,Employed full time,software developer,"1,000+ employees",3-5 years,software developer,Technology,,1,1,1,1,7,1,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,5,1,7,,,,,,,,,,,,,,,4,5,2,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Man,,Employed full time,engineer,50-100 employees,1-2 years,"engineer, director",Manufacturing,,4,5,5,4,2,4,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6,8,6,6,8,,,,,,,,,,,,,,,,,,,,,,7,7,6,8,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Man,,Employed full time,ceo and owner,Less than 50 employees,3-5 years,"sales, software engineers",Technology,,2,4,3,3,6,2,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,5,5,5,3,6,,,,,,,,,,,,,,,5,6,5,5,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Man,,Employed full time,IT Support tech,"500-1,000 employees",1-2 years,I recruited for a windows 7 migration about 10 years ago ,Manufacturing,,6,6,6,6,2,6,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,7,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,4,4,8,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Man,,Employed full time,IT Manager,"1,000+ employees",5-10 years,"software engineer, application analyst","Health,Technology",,2,5,5,5,3,5,Man_Traditional,Experiment
,,,,,,,,,,,,,,6,7,4,6,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,6,6,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Man,,Employed full time,IT Manager,"1,000+ employees",3-5 years,Software developers,Technology,,3,6,6,3,2,3,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,7,7,6,7,8,,,,,,,,6,8,6,5,6,7,8,37,Man,,Employed full time,manager,100-500 employees,5-10 years,Technicians,Technology,,2,3,2,3,5,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,6,4,6,3,,,,,,,,,,,,,,,6,7,7,7,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Woman,,Employed full time,Office Manager,Less than 50 employees,5-10 years,"accounting positions, office positions. ","Professional or business services,Technology",,3,6,3,5,6,5,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,5,5,10,10,,,,,,,,,,,,,,,,,,,,,,8,9,5,7,5,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Man,,Employed full time,Systems Administrator,100-500 employees,3-5 years,HelpDesk/Desktop Support,Technology,,3,5,6,3,5,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,8,6,8,9,8,10,9,7,6,6,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Man,,Employed full time,Information Technology Manager,"1,000+ employees",1-2 years,"Information Technology specialist/analyst, Software developer",Technology,,2,4,4,3,5,3,Man_Traditional,Experiment
9,9,9,10,9,9,9,9,9,9,9,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Man,,Employed full time,Engineering Supervisor,100-500 employees,3-5 years,Applications Engineer,Professional or business services,,1,6,6,5,1,2,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,8,6,6,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Man,,Employed full time,Manager,Less than 50 employees,10+ years,I've hired a wide range of people in my 30 years of management. Mostly general labor early on and recently more technician types of employees.,Technology,,5,6,4,5,6,5,Woman_Nontraditional,Experiment
